면적,층수,구,동,년수,가격,브랜드,등급
104.89,8,마포구,아현동,16,11.5,기타,A
84.99,4,강동구,암사동,17,11.25,기타,B
84.99,4,마포구,대흥동,4,14.75,자이,A
85,17,강서구,화곡동,21,9.9,롯데캐슬,B
59.96,5,성동구,행당동,24,9.1,기타,B
45.75,7,서대문구,충정로3가,20,5.3,기타,B
84.83,12,강동구,강일동,13,9.7,기타,B
84.83,12,강동구,강일동,13,9.7,기타,B
84.96,13,서대문구,북아현동,4,13.35,힐스테이트,A
84.88,6,강서구,마곡동,8,12.7,기타,B
59.99,8,강서구,마곡동,7,10.9,힐스테이트,B
49.27,2,동대문구,답십리동,5,7.98,자이,A
59.88,14,성동구,하왕십리동,9,13,기타,C
59.88,14,성동구,하왕십리동,9,13,기타,C
84.95,5,서대문구,남가좌동,24,8,래미안,B
64.66,9,종로구,창신동,31,5.75,기타,B
59.95,3,성북구,삼선동2가,16,6.8,기타,C
84.74,15,중랑구,면목동,17,7.48,기타,A
37.42,16,중랑구,상봉동,9,2.53,기타,A
59.99,3,성북구,길음동,21,7.1,래미안,A
59.42,18,성북구,석관동,5,8.25,래미안,B
29.99,4,은평구,대조동,3,3.9,기타,C
143.43,14,성북구,길음동,19,8.7,기타,A
59.6,10,강북구,미아동,14,6.8,래미안,B
51.86,10,중랑구,묵동,20,4.1,기타,B
84.71,4,강북구,미아동,21,6,기타,B
59.94,12,노원구,월계동,22,6.98,기타,B
59.88,3,성북구,정릉동,19,4.84,기타,B
26.35,4,은평구,불광동,5,2.67,기타,B
41.3,2,강북구,번동,33,4,기타,C
31.32,3,노원구,공릉동,23,2.95,기타,A
18.65,14,강북구,미아동,10,1.35,기타,B
41.3,7,노원구,상계동,36,4.9,기타,C
135,20,도봉구,창동,27,9,기타,A
84.98,9,강북구,우이동,34,5.45,기타,B
84.87,11,도봉구,방학동,20,5.8,기타,B
14.86,5,도봉구,방학동,6,1.15,기타,A
84.96,1,노원구,상계동,25,5.85,기타,C
84.88,10,노원구,상계동,15,6.05,기타,A
